"abbreviation"
"Tula"
"Cala"
"Merc"
"SanL"
"Sono"
"Mari"
"Humb"
"Mono"
"DelN"
"Colu"
"Alam"
"ElDo"
"Sutt"
"King"
"Sier"
"Lass"
"Lake"
"Teha"
"SanF"
"Alpi"
"Made"
"Sacr"
"Sant"
"Plum"
"Modo"
"Sola"
"Vent"
"Yuba"
"Tuol"
"Napa"
"Sisk"
"Plac"
"Glen"
"Trin"
"Inyo"
"SanB"
"Mont"
"SanD"
"Neva"
"Mend"
"Yolo"
"Impe"
"Stan"
"Kern"
"Cont"
"Fres"
"SanM"
"Butt"
"SanJ"
"Amad"
"Shas"
"Rive"
"LosA"
"Oran"
